CVE ID,CWE ID,Name,Classification,Confidence,Abstraction,Notes
"CVE-2022-23654","CWE-863","Incorrect Authorization","Primary","0.60","Class","Secondary CWE"
"CVE-2022-24976","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Primary","0.90","Base","Primary CWE"
"CVE-2022-24976","CWE-1390","Weak Authentication","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-24976","CWE-287","Improper Authentication","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-47332","CWE-862","Missing Authorization","Primary","1.00","Class","Allowed-with-Review"
"CVE-2022-47332","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Secondary","0.70","Base","Allowed"
"CVE-2022-35229","CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Primary","1.00","Base","Primary CWE"
"CVE-2022-35229","CWE-352","Cross-Site Request Forgery (CSRF)","Primary","0.70","Compound","Secondary CWE"
"CVE-2021-33502","CWE-1333","Inefficient Regular Expression Complexity","Primary","1.00","Base","Primary CWE"
"CVE-2021-33502","CWE-400","Uncontrolled Resource Consumption","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-30306","CWE-121","Stack-based Buffer Overflow","Primary","1.00","Variant","Allowed"
"CVE-2022-30306","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.70","Class","Discouraged"
"CVE-2022-42699","CWE-94","Improper Control of Generation of Code ('Code Injection')","Primary","0.80","Base","Primary CWE"
"CVE-2022-20218","CWE-279","Incorrect Execution-Assigned Permissions","Primary","0.75","Variant","Primary CWE"
"CVE-2022-20218","CWE-862","Missing Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-1699","CWE-400","Uncontrolled Resource Consumption","Primary","0.80","Class","Primary CWE"
"CVE-2022-1699","CWE-770","Allocation of Resources Without Limits or Throttling","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-24900","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","0.90","Base","Primary CWE"
"CVE-2022-24900","CWE-73","External Control of File Name or Path","Primary","0.80","Base","Secondary Candidate"
"CVE-2022-41033","CWE-269","Improper Privilege Management","Primary","0.60","Class","Primary CWE"
"CVE-2022-41033","CWE-266","Incorrect Privilege Assignment","Primary","0.50","Base","Secondary Candidate"
"CVE-2022-28165","CWE-863","Incorrect Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-28165","CWE-284","Improper Access Control","Secondary","0.70","Pillar","Secondary Candidate"
"CVE-2022-26948","CWE-256","Plaintext Storage of a Password","Primary","0.90","Base","Primary CWE. Matches the **insecure credential storage** rootcause."
"CVE-2022-26948","CWE-312","Cleartext Storage of Sensitive Information","Primary","0.70","Base","Secondary candidate. Addresses the **insecure credential storage** and aligns with the description of storing sensitive information in cleartext."
"CVE-2022-26948","CWE-257","Storing Passwords in a Recoverable Format","Primary","0.60","Base","Secondary candidate. Addresses the **insecure credential storage**; although "recoverable" is less precise than "plaintext"."
"CVE-2022-26948","CWE-522","Insufficiently Protected Credentials","Primary","0.50","Class","Secondary candidate. A more general class of the vulnerability."
"CVE-2022-20148","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-20148","CWE-362","Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')","Primary","1.00","Class","Secondary CWE"
"CVE-2021-40060","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2021-40060","CWE-122","Heap-based Buffer Overflow","Secondary","0.70","Variant","Allowed"
"CVE-2021-40060","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.50","Class","Discouraged"
"CVE-2022-25262","CWE-290","Authentication Bypass by Spoofing","Primary","0.70","Base","Primary CWE"
"CVE-2022-25262","CWE-287","Improper Authentication","Secondary","0.50","Class","Secondary Candidate"
"CVE-2022-35100","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Primary CWE"
"CVE-2022-35100","CWE-125","Out-of-bounds Read","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-35100","CWE-404","Improper Resource Shutdown or Release","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-33699","CWE-532","Insertion of Sensitive Information into Log File","Primary","1.00","Base","Primary CWE"
"CVE-2022-33699","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-33268","CWE-126","Buffer Over-read","Primary","1.00","Variant","Primary CWE"
"CVE-2022-1596","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","1.00","Class","Primary CWE"
"CVE-2022-1596","CWE-285","Improper Authorization","Secondary","0.70","Class","Secondary Candidate"
"CVE-2021-22787","CWE-20","Improper Input Validation","Primary","0.80","Class","Discouraged"
"CVE-2021-22787","CWE-400","Uncontrolled Resource Consumption","Secondary","0.60","Class","Discouraged"
"CVE-2022-39293","CWE-191","Integer Underflow (Wrap or Wraparound)","Primary","1.00","Base","Primary CWE"
"CVE-2022-39293","CWE-787","Out-of-bounds Write","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-30535","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Primary","0.80","Class","Discouraged"
"CVE-2022-30535","CWE-284","Improper Access Control","Secondary","0.70","Class","Discouraged"
"CVE-2022-22163","CWE-1286","Improper Validation of Syntactic Correctness of Input","Primary","0.90","Base","Allowed"
"CVE-2022-22163","CWE-20","Improper Input Validation","Secondary","0.60","Class","Discouraged"
"CVE-2022-34891","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","0.90","Class","Primary CWE"
"CVE-2022-34891","CWE-266","Incorrect Privilege Assignment","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-34891","CWE-285","Improper Authorization","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-41185","CWE-121","Stack-based Buffer Overflow","Primary","0.90","Variant","Allowed"
"CVE-2022-41185","CWE-415","Double Free","Secondary","0.80","Base","Allowed"
"CVE-2022-41185","CWE-787","Out-of-bounds Write","Secondary","0.70","Base","Allowed"
"CVE-2022-41185","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.60","Class","Discouraged"
"CVE-2022-37130","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-41839","CWE-284","Improper Access Control","Primary","0.90","Pillar","Discouraged"
"CVE-2022-41839","CWE-862","Missing Authorization","Secondary","0.80","Class","Allowed-with-Review"
"CVE-2022-41839","CWE-306","Missing Authentication for Critical Function","Secondary","0.70","Base","Allowed"
"CVE-2022-38368","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-38368","CWE-287","Improper Authentication","Secondary","0.70","Class","Secondary Candidate"
"CVE-2021-42122","CWE-20","Improper Input Validation","Unknown","0.90","Class","Consider lower-level children such as Improper Use of Validation Framework (CWE-1173) or improper validation involving specific types or properties of input such as Specified Quantity (CWE-1284); Specified Index; Position; or Offset (CWE-1285); Syntactic Correctness (CWE-1286); Specified Type (CWE-1287); Consistency within Input (CWE-1288); or Unsafe Equivalence (CWE-1289)."
"CVE-2022-0798","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-28909","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-28909","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Primary","0.70","Class","Secondary Candidate.  Considered due to its relationship with CWE-78; but OS Command Injection is more specific."
"CVE-2022-29062","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","1.00","Base","Primary CWE"
"CVE-2022-29062","CWE-23","Relative Path Traversal","Primary","0.75","Base","Secondary Candidate"
"CVE-2022-29062","CWE-73","External Control of File Name or Path","Primary","0.60","Base","Secondary Candidate"
"CVE-2021-46848","CWE-193","Off-by-one Error","Primary","1.00","Base","Primary CWE"
"CVE-2021-46848","CWE-125","Out-of-bounds Read","Primary","0.80","Base","Secondary Candidate"
"CVE-2022-22286","CWE-927","Use of Implicit Intent for Sensitive Communication","Primary","0.90","Variant","Primary CWE. The application uses an implicit intent for transmitting sensitive data to other applications."
"CVE-2022-22286","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Primary","0.70","Base","Secondary CWE. The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions."
"CVE-2022-22286","CWE-284","Improper Access Control","Secondary","0.50","Pillar","Secondary CWE. The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor."
"CVE-2022-0581","CWE-835","Loop with Unreachable Exit Condition ('Infinite Loop')","Primary","0.75","Base","Allowed"
"CVE-2022-0581","CWE-476","NULL Pointer Dereference","Secondary","0.50","Base","Allowed"
"CVE-2022-21698","CWE-770","Allocation of Resources Without Limits or Throttling","Primary","0.90","Base","Allowed"
"CVE-2022-21698","CWE-400","Uncontrolled Resource Consumption","Secondary","0.70","Class","Discouraged"
"CVE-2022-26429","CWE-862","**Missing Authorization**","Primary","1.00","Class","Primary CWE"
"CVE-2022-26429","CWE-280","Improper Handling of Insufficient Permissions or Privileges","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-26429","CWE-274","Improper Handling of Insufficient Privileges","Secondary","0.60","Base","Secondary Candidate"
"CVE-2021-44854","CWE-524","Use of Cache Containing Sensitive Information","Primary","0.90","Base","Primary CWE: The REST API publicly caches results from private wikis; exposing sensitive information."
"CVE-2021-44854","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.70","Class","Secondary CWE: General information exposure due to insecure caching."
"CVE-2022-22736","CWE-427","Uncontrolled Search Path Element","Primary","0.90","Base","Primary CWE"
"CVE-2022-22736","CWE-668","Exposure of Resource to Wrong Sphere","Secondary","0.60","Class","Secondary Candidate"
"CVE-2022-30111","CWE-327","Use of a Broken or Risky Cryptographic Algorithm","Primary","0.90","Class","Primary CWE"
"CVE-2022-30111","CWE-328","Use of Weak Hash","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-46833","CWE-327","Use of a Broken or Risky Cryptographic Algorithm","Primary","1.00","Class","Primary CWE"
"CVE-2022-46833","CWE-757","Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-0296","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-39097","CWE-862","Missing Authorization","Primary","1.00","Class","The root cause is a **missing permission check**."
"CVE-2022-27332","CWE-306","Missing Authentication for Critical Function","Primary","1.00","Base","Primary CWE"
"CVE-2022-27332","CWE-284","Improper Access Control","Secondary","0.50","Pillar","Secondary Candidate"
"CVE-2022-23559","CWE-190","Integer Overflow or Wraparound","Primary","1.00","Base","Allowed"
"CVE-2022-23559","CWE-125","Out-of-bounds Read","Secondary","0.90","Base","Allowed"
"CVE-2022-23559","CWE-787","Out-of-bounds Write","Secondary","0.90","Base","Allowed"
"CVE-2022-23559","CWE-1284","Improper Validation of Specified Quantity in Input","Secondary","0.70","Base","Allowed"
"CVE-2022-36448","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Primary CWE. The vulnerability allows writing to a memory location specified by the `IhisiParamBuffer` NVRAM variable without proper validation."
"CVE-2022-36448","CWE-822","Untrusted Pointer Dereference","Primary","0.70","Base","Secondary CWE. The vulnerability takes a value from an untrusted source (NVRAM variable); converts it to a pointer; and dereferences it without validation."
"CVE-2022-36448","CWE-20","Improper Input Validation","Secondary","0.50","Class","Secondary CWE. The root cause is the lack of proper input validation of the address obtained from NVRAM."
"CVE-2022-41917","CWE-200","Exposure of Sensitive Information","Primary","0.85","Class","Primary"
"CVE-2022-41917","CWE-209","Generation of Error Message Containing Sensitive Information","Primary","0.70","Base","Secondary"
"CVE-2022-41917","CWE-755","Improper Handling of Exceptional Conditions","Secondary","0.60","Class","Secondary"
"CVE-2022-35517","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Allowed"
"CVE-2022-35517","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Secondary","0.80","Class","Allowed-with-Review"
"CVE-2022-35517","CWE-790","Improper Filtering of Special Elements","Secondary","0.60","Class","Allowed-with-Review"
"CVE-2022-35572","CWE-306","Missing Authentication for Critical Function","Primary","1.00","Base","Allowed"
"CVE-2022-35572","CWE-200","Information Exposure","Secondary","0.70","Class","Allowed"
"CVE-2021-38957","CWE-20","Improper Input Validation","Unknown","0.80","Class","The vulnerability description mentions "hazardous input validation;" making this a relevant; albeit high-level; match. More specific CWEs related to input validation should be considered."
"CVE-2022-41797","CWE-939","Improper Authorization in Handler for Custom URL Scheme","Primary","1.00","Base","Primary CWE"
"CVE-2022-41797","CWE-285","Improper Authorization","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-41797","CWE-862","Missing Authorization","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-24040","CWE-1284","Improper Validation of Specified Quantity in Input","Primary","0.90","Base","Allowed"
"CVE-2022-24040","CWE-400","Uncontrolled Resource Consumption","Secondary","0.70","Class","Discouraged"
"CVE-2022-38461","CWE-862","Missing Authorization","Primary","0.90","Class","Primary CWE"
"CVE-2022-38461","CWE-284","Improper Access Control","Secondary","0.70","Pillar","Secondary Candidate"
"CVE-2022-38461","CWE-639","Authorization Bypass Through User-Controlled Key","Primary","0.60","Base","Secondary Candidate"
"CVE-2021-40365","CWE-400","Uncontrolled Resource Consumption","Unknown","0.80","Class","The device does not properly control the processing of crafted packets; leading to resource exhaustion and denial of service."
"CVE-2021-40365","CWE-20","Improper Input Validation","Secondary","0.70","Class","Secondary: The root cause is the lack of proper validation of the crafted packets."
"CVE-2022-32632","CWE-787","Out-of-bounds Write","Primary","0.90","Base","Allowed"
"CVE-2022-32632","CWE-20","Improper Input Validation","Secondary","0.70","Class","Discouraged"
"CVE-2022-47471","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-47471","CWE-668","Exposure of Resource to Wrong Sphere","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-34436","CWE-20","Improper Input Validation","Primary","0.90","Class","Discouraged; using because no more specific CWE is apparent."
"CVE-2022-34436","CWE-863","Incorrect Authorization","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-36857","CWE-285","Improper Authorization","Primary","0.90","Class","Discouraged"
"CVE-2022-36857","CWE-862","Missing Authorization","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-36857","CWE-863","Incorrect Authorization","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-23163","CWE-400","Uncontrolled Resource Consumption","Primary","0.75","Class","Discouraged"
"CVE-2022-23163","CWE-770","Allocation of Resources Without Limits or Throttling","Secondary","0.65","Base","Allowed"
"CVE-2022-3842","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-29527","CWE-362","Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')","Primary","0.90","Class","Primary CWE"
"CVE-2022-29527","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-26531","CWE-120","Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')","Primary","0.75","Base","Primary CWE - The vulnerability description explicitly mentions a **buffer overflow** caused by **improper input validation**"
"CVE-2022-26531","CWE-20","Improper Input Validation","Secondary","0.60","Class","Secondary CWE - The vulnerability description indicates that the root cause is **improper input validation**."
"CVE-2022-20907","CWE-20","Improper Input Validation","Primary","0.90","Class","Primary CWE"
"CVE-2022-20907","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-37010","CWE-20","Improper Input Validation","Primary","0.70","Class","Allowed-with-Review"
"CVE-2022-37010","CWE-1289","Improper Validation of Unsafe Equivalence in Input","Secondary","0.60","Base","Allowed"
"CVE-2021-39058","CWE-327","Use of a Broken or Risky Cryptographic Algorithm","Primary","0.90","Class","Allowed-with-Review"
"CVE-2021-39058","CWE-326","Inadequate Encryption Strength","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2021-39058","CWE-1240","Use of a Cryptographic Primitive with a Risky Implementation","Secondary","0.70","Base","Allowed"
"CVE-2022-0646","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-0646","CWE-404","Improper Resource Shutdown or Release","Primary","0.60","Class","Secondary Candidate"
"CVE-2021-44383","CWE-1287","Improper Validation of Specified Type of Input","Primary","0.90","Base","Primary CWE"
"CVE-2021-44383","CWE-20","Improper Input Validation","Secondary","0.70","Class","Secondary Candidate"
"CVE-2022-35944","CWE-1336","Improper Neutralization of Special Elements Used in a Template Engine","Primary","0.90","Base","Primary CWE"
"CVE-2022-35944","CWE-184","Incomplete List of Disallowed Inputs","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-31796","CWE-126","Buffer Over-read","Primary","0.90","Variant","Primary CWE"
"CVE-2022-31796","CWE-1284","Improper Validation of Specified Quantity in Input","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-35525","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-35525","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Primary","0.70","Class","Secondary Candidate"
"CVE-2021-46304","CWE-306","Missing Authentication for Critical Function","Primary","1.00","Base","Allowed"
"CVE-2021-46304","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Secondary","0.50","Class","Discouraged"
"CVE-2022-46338","CWE-276","Incorrect Default Permissions","Primary","1.00","Base","Primary CWE"
"CVE-2022-46338","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-46338","CWE-319","Cleartext Transmission of Sensitive Information","Primary","0.50","Base","Secondary Candidate"
"CVE-2022-22237","CWE-303","Incorrect Implementation of Authentication Algorithm","Primary","0.90","Base","Allowed"
"CVE-2022-22237","CWE-287","Improper Authentication","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2022-22237","CWE-288","Authentication Bypass Using an Alternate Path or Channel","Secondary","0.60","Base","Allowed"
"CVE-2022-22542","CWE-200","Exposure of Sensitive Information to an Unauthorized Actor","Primary","0.90","Class","Discouraged"
"CVE-2022-22542","CWE-359","Exposure of Private Personal Information to an Unauthorized Actor","Secondary","0.80","Base","Allowed"
"CVE-2022-22542","CWE-863","Incorrect Authorization","Secondary","0.70","Class","Allowed-with-Review"
"CVE-2021-39021","CWE-203","Observable Discrepancy","Primary","0.90","Base","Primary CWE"
"CVE-2021-39021","CWE-204","Observable Response Discrepancy","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-39021","CWE-208","Observable Timing Discrepancy","Primary","0.50","Base","Secondary Candidate"
"CVE-2022-3964","CWE-125","Out-of-bounds Read","Primary","1.00","Base","Allowed"
"CVE-2022-20002","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-20002","CWE-1386","Insecure Operation on Windows Junction / Mount Point","Primary","0.60","Base","Secondary Candidate"
"CVE-2022-25921","CWE-94","Improper Control of Generation of Code ('Code Injection')","Primary","0.90","Base","Primary CWE"
"CVE-2021-43838","CWE-1333","Inefficient Regular Expression Complexity","Primary","1.00","Base","Allowed"
"CVE-2022-0603","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-24441","CWE-94","Improper Control of Generation of Code ('Code Injection')","Primary","0.90","Base","Primary CWE"
"CVE-2022-24441","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-37146","CWE-208","Observable Timing Discrepancy","Primary","1.00","Base","Primary CWE"
"CVE-2022-37146","CWE-204","Observable Response Discrepancy","Primary","0.75","Base","Secondary CWE"
"CVE-2022-23935","CWE-77","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Primary","0.90","Class","Primary CWE"
"CVE-2022-23935","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-23935","CWE-95","Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')","Primary","0.40","Variant","Secondary Candidate"
"CVE-2022-30105","CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-30105","CWE-20","Improper Input Validation","Secondary","0.70","Class","Secondary CWE"
"CVE-2022-1383","CWE-125","Out-of-bounds Read","Primary","1.00","Base","Primary CWE"
"CVE-2022-1383","CWE-122","Heap-based Buffer Overflow","Primary","0.70","Variant","Secondary Candidate"
"CVE-2022-20908","CWE-269","Improper Privilege Management","Primary","0.75","Class","Primary CWE"
"CVE-2022-20908","CWE-20","Improper Input Validation","Secondary","0.60","Class","Secondary CWE"
"CVE-2022-35415","CWE-20","Improper Input Validation","Primary","0.80","Class","Discouraged"
"CVE-2022-35415","CWE-269","Improper Privilege Management","Secondary","0.60","Class","Discouraged"
"CVE-2022-33175","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","0.90","Class","Primary CWE: The **insecure permissions setting** on the user.token field allowed unauthorized access."
"CVE-2022-33175","CWE-330","Use of Insufficiently Random Values","Secondary","0.70","Class","Secondary CWE: The session tokens are generated using a **weak random number generator**."
"CVE-2022-33175","CWE-798","Use of Hard-coded Credentials","Primary","0.60","Base","Secondary CWE: The admin's password is stored in plaintext."
"CVE-2021-42782","CWE-121","Stack-based Buffer Overflow","Primary","1.00","Variant","Allowed"
"CVE-2021-42782","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Secondary","0.70","Class","Discouraged"
"CVE-2022-44436","CWE-862","Missing Authorization","Primary","0.90","Class","Primary CWE"
"CVE-2022-44436","CWE-732","Incorrect Permission Assignment for Critical Resource","Primary","0.70","Class","Secondary Candidate"
"CVE-2021-0903","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Primary CWE"
"CVE-2022-20536","CWE-862","Missing Authorization","Primary","1.00","Class","Primary CWE"
"CVE-2022-20536","CWE-925","Improper Verification of Intent by Broadcast Receiver","Primary","0.75","Variant","Secondary Candidate"
"CVE-2022-46411","CWE-1393","Use of Default Password","Primary","1.00","Base","Allowed"
"CVE-2022-46313","CWE-287","Improper Authentication","Primary","0.80","Class","Discouraged"
"CVE-2022-46313","CWE-306","Missing Authentication for Critical Function","Secondary","0.60","Base","Suggested Alternative for CWE-287"
"CVE-2022-1866","CWE-416","Use After Free","Primary","1.00","Variant","Primary CWE"
"CVE-2022-1866","CWE-787","Out-of-bounds Write","Primary","0.30","Base","Secondary Candidate"
"CVE-2022-30952","CWE-266","Incorrect Privilege Assignment","Primary","0.80","Base","Primary CWE"
"CVE-2022-30952","CWE-639","Authorization Bypass Through User-Controlled Key","Primary","0.60","Base","Secondary Candidate"
"CVE-2022-31541","CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Primary","1.00","Base","Primary CWE"
"CVE-2022-31541","CWE-36","Absolute Path Traversal","Primary","0.90","Base","Secondary Candidate"
"CVE-2022-31541","CWE-73","External Control of File Name or Path","Primary","0.80","Base","Secondary Candidate"
"CVE-2022-34446","CWE-863","Incorrect Authorization","Primary","0.90","Class","Allowed-with-Review"
"CVE-2022-34446","CWE-639","Authorization Bypass Through User-Controlled Key","Secondary","0.60","Base","Allowed"
"CVE-2022-36202","CWE-639","Authorization Bypass Through User-Controlled Key","Primary","0.90","Base","Primary CWE"
"CVE-2022-36202","CWE-425","Direct Request ('Forced Browsing')","Primary","0.70","Base","Secondary Candidate"
"CVE-2022-36202","CWE-863","Incorrect Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-33938","CWE-134","Use of Externally-Controlled Format String","Primary","1.00","Base","Primary CWE"
"CVE-2022-33938","CWE-123","Write-what-where Condition","Primary","0.50","Base","Secondary Candidate"
"CVE-2022-28345","CWE-1007","Insufficient Visual Distinction of Homoglyphs Presented to User","Primary","0.90","Base","Primary CWE"
"CVE-2022-28345","CWE-451","User Interface (UI) Misrepresentation of Critical Information","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-24322","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Primary","1.00","Class","Primary CWE"
"CVE-2022-34767","CWE-306","Missing Authentication for Critical Function","Primary","0.90","Base","Primary CWE"
"CVE-2022-34767","CWE-425","Direct Request ('Forced Browsing')","Primary","0.70","Base","Secondary Candidate"
"CVE-2021-42760","CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-41627","CWE-319","Cleartext Transmission of Sensitive Information","Primary","1.00","Base","Allowed"
"CVE-2022-41627","CWE-306","Missing Authentication for Critical Function","Secondary","0.40","Base","Allowed"
"CVE-2022-36278","CWE-691","Insufficient Control Flow Management","Primary","0.75","Pillar","Discouraged"
"CVE-2022-25649","CWE-284","Improper Access Control","Primary","0.70","Pillar","Discouraged"
"CVE-2022-25649","CWE-862","Missing Authorization","Secondary","0.60","Class","Allowed-with-Review"
"CVE-2022-25649","CWE-425","Direct Request ('Forced Browsing')","Secondary","0.50","Base","Allowed"
"CVE-2022-29053","CWE-325","Missing Cryptographic Step","Primary","1.00","Base","Primary CWE"
"CVE-2022-31110","CWE-1333","Inefficient Regular Expression Complexity","Primary","1.00","Base","Allowed"
"CVE-2022-31110","CWE-770","Allocation of Resources Without Limits or Throttling","Secondary","0.70","Base","Allowed"
"CVE-2022-31110","CWE-407","Inefficient Algorithmic Complexity","Secondary","0.60","Class","Allowed-with-Review"
"CVE-2022-45782","CWE-338","Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)","Primary","1.00","Base","Primary CWE. The vulnerability description and CVE reference links content summary clearly indicate the use of a cryptographically weak PRNG for password reset token generation."
"CVE-2022-45782","CWE-330","Use of Insufficiently Random Values","Primary","0.70","Class","Secondary CWE. While the primary issue is the use of a cryptographically weak PRNG; this CWE is a broader classification that encompasses the weakness of the random values generated."
"CVE-2022-45782","CWE-341","Predictable from Observable State","Primary","0.60","Base","Secondary CWE. The tokens generated are predictable because of the weak PRNG; which is based on observable system state"
"CVE-2022-1003","CWE-268","Privilege Chaining","Primary","0.80","Base","Primary CWE"
"CVE-2022-1003","CWE-863","Incorrect Authorization","Primary","0.60","Class","Secondary Candidate"
"CVE-2022-1003","CWE-267","Privilege Defined With Unsafe Actions","Primary","0.50","Base","Secondary Candidate"
"CVE-2022-29217","CWE-347","Improper Verification of Cryptographic Signature","Primary","0.90","Base","Primary CWE"
"CVE-2022-29217","CWE-327","Use of a Broken or Risky Cryptographic Algorithm","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-29217","CWE-1240","Use of a Cryptographic Primitive with a Risky Implementation","Primary","0.60","Base","Secondary Candidate"
"CVE-2022-26716","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2022-36086","CWE-787","Out-of-bounds Write","Primary","1.00","Base","Allowed"
"CVE-2022-36086","CWE-1284","Improper Validation of Specified Quantity in Input","Secondary","0.90","Base","Allowed"
"CVE-2022-47909","CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","Primary","1.00","Base","Primary CWE"
"CVE-2022-47909","CWE-943","Improper Neutralization of Special Elements in Data Query Logic","Primary","0.70","Class","Secondary Candidate"
"CVE-2022-23039","CWE-362","Concurrent Execution using Shared Resource with Improper Synchronization ('**Race Condition**')","Primary","1.00","Class","Primary CWE"
"CVE-2022-23039","CWE-416","Use After Free","Primary","0.60","Variant","Secondary Candidate"
